"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.FlightSimulation.BenchmarkTest.runVersion1Throughput","thrpt",1,200,239.355946,13.342809,"ops/s"
"org.FlightSimulation.BenchmarkTest.runVersion2Throughput","thrpt",1,200,260.262928,10.416841,"ops/s"
"org.FlightSimulation.BenchmarkTest.runVersion3Throughput","thrpt",1,200,352.776773,9.080926,"ops/s"
"org.FlightSimulation.BenchmarkTest.runVersion4Throughput","thrpt",1,200,362.639117,13.249632,"ops/s"
"org.FlightSimulation.MyBenchmark.testMethod","thrpt",1,200,3566069642.349102,29190520.395647,"ops/s"
"org.FlightSimulation.BenchmarkTest.runCUSTOMStructureAdd","avgt",1,200,0.000000,0.000000,"s/op"
"org.FlightSimulation.BenchmarkTest.runCUSTOMStructureGet","avgt",1,200,0.000000,0.000000,"s/op"
"org.FlightSimulation.BenchmarkTest.runCUSTOMStructureRemove","avgt",1,200,0.000000,0.000000,"s/op"
"org.FlightSimulation.BenchmarkTest.runCUSTOMStructureSize","avgt",1,200,0.000000,0.000000,"s/op"
"org.FlightSimulation.BenchmarkTest.runJDKStructureAdd","avgt",1,200,0.000000,0.000000,"s/op"
"org.FlightSimulation.BenchmarkTest.runJDKStructureGet","avgt",1,200,0.000000,0.000000,"s/op"
"org.FlightSimulation.BenchmarkTest.runJDKStructureRemove","avgt",1,200,0.000000,0.000000,"s/op"
"org.FlightSimulation.BenchmarkTest.runJDKStructureSize","avgt",1,200,0.000000,0.000000,"s/op"
"org.FlightSimulation.BenchmarkTest.runVersion1AverageTime","avgt",1,200,0.004238,0.000251,"s/op"
"org.FlightSimulation.BenchmarkTest.runVersion2AverageTime","avgt",1,200,0.004190,0.000266,"s/op"
"org.FlightSimulation.BenchmarkTest.runVersion3AverageTime","avgt",1,200,0.002843,0.000088,"s/op"
"org.FlightSimulation.BenchmarkTest.runVersion4AverageTime","avgt",1,200,0.002700,0.000117,"s/op"
"org.FlightSimulation.BenchmarkTest.runVersion1SingleShotTime","ss",1,200,0.009052,0.001760,"s/op"
"org.FlightSimulation.BenchmarkTest.runVersion2SingleShotTime","ss",1,200,0.008800,0.001437,"s/op"
"org.FlightSimulation.BenchmarkTest.runVersion3SingleShotTime","ss",1,200,0.005023,0.000321,"s/op"
"org.FlightSimulation.BenchmarkTest.runVersion4SingleShotTime","ss",1,200,0.004829,0.001206,"s/op"
